"clause_id","contract_id","clause_type","clause_order","text"
"K001-CL01","K001","Scope","1","Perpetual non-exclusive non-transferable licence for the Enterprise Resource Planning Suite covering all UK-registered business units of Meridian Holdings Ltd. Implementation within 16 weeks; up to 20 consultant days on-site."
"K001-CL02","K001","Payment Terms","2","Total licence fee £85,000 exclusive of VAT in three tranches: 30% on execution (£25,500), 40% on UAT sign-off (£34,000), 30% sixty days after go-live (£25,500). Interest at 4% above Bank of England base rate on overdue amounts."
"K001-CL03","K001","Liability","3","Supplier aggregate liability capped at 100% of total fees paid in the twelve months preceding the claim. Neither party liable for indirect or consequential loss."
"K001-CL04","K001","Termination","4","Either party may terminate on 90 days written notice after the first anniversary. Immediate termination by buyer if supplier enters insolvency. Prepaid fees refunded pro-rata within 30 calendar days."
"K001-CL05","K001","IP","5","Perpetual licence to use the ERP Suite for internal business purposes. Supplier retains ownership of all software IP. Buyer may not sublicense or transfer the licence."
"K002-CL01","K002","Scope","1","Cloud Migration Consultancy in three phases: discovery and assessment (Infrastructure Assessment Report within 4 weeks), migration planning (Migration Runbook), and supervised migration execution of up to 40 virtual machine workloads."
"K002-CL02","K002","Payment Terms","2","Daily rate £1,250 exclusive of VAT; maximum contract value £100,000 for 80 confirmed consultant days. Invoiced monthly in arrears. Payment due 30 days from valid invoice."
"K002-CL03","K002","Liability","3","Consultant aggregate liability capped at total fees paid in the six months preceding the claim. Neither party liable for indirect or consequential loss including loss of data or revenue."
"K002-CL04","K002","IP","4","All deliverables produced solely for the Client vest in Meridian Holdings Ltd upon full payment. Consultant retains ownership of pre-existing IP; grants Client a non-exclusive royalty-free licence to use pre-existing materials to maintain migrated infrastructure."
"K002-CL05","K002","Termination","5","Either party may terminate on 30 days written notice. Immediate termination if other party enters insolvency proceedings, ceases to carry on business, or is unable to provide adequately qualified personnel. Completed deliverables handed over within 10 business days; advance fees refunded within 30 days."
"K003-CL01","K003","Scope","1","Supply and delivery of 12 Network Security Appliances (£12,500 each; £150,000 total) and 8 Server Rack Units 42U (£3,200 each; £25,600 total). Aggregate hardware value £175,600 exclusive of VAT. Delivery to 45 King Street London EC2V 8RF."
"K003-CL02","K003","Payment Terms","2","Total £175,600 in two equal instalments: 50% (£87,800) on despatch confirmation; 50% (£87,800) on written acceptance by James Blackwood. Payment due 30 days from invoice. Interest at 3% above ECB base rate on overdue amounts."
"K003-CL03","K003","Warranty","3","Hardware warrantied against defects for 24 months from delivery acceptance. Supplier to repair or replace defective units within 10 business days at no additional cost."
"K003-CL04","K003","Liability","4","Supplier aggregate liability capped at total fees paid under this Agreement. Neither party liable for indirect or consequential loss including loss of revenue, data, or business opportunity."
"K004-CL01","K004","Scope","1","Managed IT Services Package: 24-hour monitoring, proactive alerting, remote and on-site break-fix, OS patch management, configuration baseline management, and monthly health reporting. Plus Annual Maintenance and Support Contract for all licensed software applications."
"K004-CL02","K004","Service Levels","2","Priority 1 incidents restored within 4 hours. Priority 2 within 8 hours. Planned maintenance Sunday 02:00-06:00; 5 business days notice required except emergency security patching (48 hours)."
"K004-CL03","K004","Payment Terms","3","Managed IT Services Package at £3,600 per month exclusive of VAT payable monthly in arrears. Annual Maintenance and Support Contract at £18,000 per year exclusive of VAT invoiced annually in advance. Payment due 30 days from valid invoice."
"K004-CL04","K004","Service Credits","4","Failure to meet Priority 1 restoration targets in any two consecutive months entitles Client to a service credit equal to 10% of the monthly managed services fee for each affected month."
"K004-CL05","K004","Liability","5","Supplier aggregate liability capped at total fees paid in the twelve months preceding the claim. Neither party liable for indirect or consequential loss."
"K004-CL06","K004","Termination","6","Either party may terminate on 90 days written notice after the first anniversary. Immediate termination by Client if Supplier enters insolvency or ceases to carry on business. Outstanding reports and credentials handed over within 10 business days."
"K005-CL01","K005","Scope","1","Perpetual non-exclusive non-transferable licence for Infrastructure Monitoring Suite covering up to 150 managed devices across all UK office sites. Software Licence Assurance Programme included for initial year and each renewal year."
"K005-CL02","K005","Payment Terms","2","Licence fee £22,000 exclusive of VAT as single lump sum within 30 days of Effective Date. Software Licence Assurance Programme £9,500 per year; first fee due within 30 days; subsequent fees invoiced 60 days before each anniversary."
"K005-CL03","K005","Service Levels","3","Priority 1 defects acknowledged within 2 business hours resolved within 1 business day. Priority 2 acknowledged within 4 business hours resolved within 3 business days. Support portal Monday to Friday 08:00-18:00 UK time."
"K005-CL04","K005","Liability","4","Supplier aggregate liability capped at total fees paid in the twelve months preceding the claim. Neither party liable for indirect or consequential loss."
"K005-CL05","K005","Termination","5","Either party may terminate on 60 days written notice after the first anniversary. Immediate termination by Client if Supplier enters insolvency. Prepaid assurance fees refunded pro-rata within 30 days."
"K006-CL01","K006","Scope","1","Disaster Recovery Planning engagement in two phases. Phase One: risk and impact assessment producing Business Impact Analysis within 6 weeks. Phase Two: full Disaster Recovery Plan including recovery runbooks and tabletop exercise within 14 weeks of Effective Date."
"K006-CL02","K006","Payment Terms","2","Fixed fee £28,000 exclusive of VAT in two equal instalments of £14,000. First instalment due within 30 days of Effective Date. Second instalment due within 30 days of Client written acceptance of Phase Two deliverables."
"K006-CL03","K006","Liability","3","Consultant aggregate liability capped at total fees paid under this Agreement. Neither party liable for indirect or consequential loss including loss of revenue, data, or business opportunity."
"K006-CL04","K006","Termination","4","Either party may terminate on 30 days written notice before commencement of Phase Two. Immediate termination if other party commits material breach unremedied within 21 days or enters insolvency proceedings. Completed deliverables handed over within 10 business days."
